insertId,labels.execution_id,logName,receiveTimestamp,resource.labels.function_name,resource.labels.project_id,resource.labels.region,resource.type,severity,textPayload,timestamp,trace
000000-ab9f6710-10db-4798-9d0f-c6d399e61d8c,2a5fny28vx8k,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:52.179688047Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 53 ms, finished with status code: 200",2021-10-09T12:38:50.387455203Z,projects/taller3-pcuneo/traces/f587c0ad5d145791e668b0c3f7925553
000000-b7b3ec4e-d212-4e8a-af87-6768317785f4,yvm266aqdq25,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:54.309395252Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 71 ms, finished with status code: 200",2021-10-09T12:38:50.387243689Z,projects/taller3-pcuneo/traces/b65264199aad832829df5edd8893e51f
000000-7549e8cc-874c-48e8-bc07-a3244a80ff20,6jdsbdsih1u6,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:39:00.701647521Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 111 ms, finished with status code: 200",2021-10-09T12:38:50.386954010Z,projects/taller3-pcuneo/traces/593e3e3b70cfb96ca3c710ab6a8c8cfa
000000-86571fd9-57d4-4d99-a4e5-96ee90818ddf,qh2rnn0yqt45,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:53.675877533Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 76 ms, finished with status code: 200",2021-10-09T12:38:50.360395910Z,projects/taller3-pcuneo/traces/cd0b46c0e1cdab59cd1e6236eca6084d
000000-c6a41290-c76d-4f28-8650-2033cffa086e,e05yyu2u697z,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.345225941Z,projects/taller3-pcuneo/traces/fb356f4c2ed61a5014cf12f683a735fa
000000-f998633c-093b-4145-af29-23182f6b3349,e05yed3ynmvr,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 173 ms, finished with status: 'ok'",2021-10-09T12:38:50.341368561Z,projects/taller3-pcuneo/traces/14faf5fba325ad00bfa74a839a0e5ff0
000000-fad0dcad-d3f4-400b-bd08-240462fcb277,2a5fny28vx8k,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:52.179688047Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.334826188Z,projects/taller3-pcuneo/traces/f587c0ad5d145791e668b0c3f7925553
000000-cd5e4ee0-4088-4bb2-a03d-1184d696f5e8,yvm266aqdq25,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:54.309395252Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.316520651Z,projects/taller3-pcuneo/traces/b65264199aad832829df5edd8893e51f
000000-053f2803-8275-45dd-acf0-480b1d7bb464,2a5fffmjwisw,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:52.179688047Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 165 ms, finished with status code: 200",2021-10-09T12:38:50.287043955Z,projects/taller3-pcuneo/traces/0cc47c5b98a070e5f77078fca3b6ad95
000000-92a6e96c-5da3-45a6-b82e-ca9a81df16b1,yvm2ezvffrpz,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:54.309395252Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 149 ms, finished with status code: 200",2021-10-09T12:38:50.287010971Z,projects/taller3-pcuneo/traces/fc8fb7ba977c4c507f169d5f5a95b79c
000000-8bc9cf52-4709-4382-a63d-ad1b76cc6bee,qh2rnn0yqt45,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:53.675877533Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.284442801Z,projects/taller3-pcuneo/traces/cd0b46c0e1cdab59cd1e6236eca6084d
000000-bf837c9e-60dd-4dd6-9c46-b613c558a054,6jdsbdsih1u6,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:39:00.701647521Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.276598452Z,projects/taller3-pcuneo/traces/593e3e3b70cfb96ca3c710ab6a8c8cfa
000000-6642554d-3a16-4fe8-8b3c-7df72d0ddf2e,qh2rblh239vi,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:53.675877533Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 83 ms, finished with status code: 200",2021-10-09T12:38:50.263844654Z,projects/taller3-pcuneo/traces/946fede275196103508316956c689232
000000-6e00d495-79c7-4760-8450-0a6f744d39f3,6jdsxjn7jv9f,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:50.848034111Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,"Function execution took 15 ms, finished with status code: 200",2021-10-09T12:38:50.187454389Z,projects/taller3-pcuneo/traces/72f295419a3270cb49abc267970c766f
000000-6ad73c28-0f84-4cbf-9d93-bb5a1cf9f567,qh2rblh239vi,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:53.675877533Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.181351922Z,projects/taller3-pcuneo/traces/946fede275196103508316956c689232
000000-5817aa8c-4866-498e-b4f6-76416b1ade52,6jdsxjn7jv9f,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:50.848034111Z,api,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.173068222Z,projects/taller3-pcuneo/traces/72f295419a3270cb49abc267970c766f
000000-a6ab735e-fe92-4834-91a5-7cf77ddbb134,e05yed3ynmvr,projects/taller3-pcuneo/logs/cloudfunctions.googleapis.com%2Fcloud-functions,2021-10-09T12:38:56.627588073Z,inc_visits,taller3-pcuneo,us-central1,cloud_function,DEBUG,Function execution started,2021-10-09T12:38:50.168643030Z,projects/taller3-pcuneo/traces/14faf5fba325ad00bfa74a839a0e5ff0
